UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
BA,Água Fria,290040,2900405,BA,Água Fria,"-11,8618","-38,7639",Região Nordeste,15731,Pequeno I,0,0,0,0,99,2,0,0,0,90,3,0,0,0,0
GO,Água Fria de Goiás,520017,5200175,GO,Água Fria de Goiás,"-14,9778","-47,7823",Região Centro-Oeste,5090,Pequeno I,0,0,1,0,14,0,0,0,0,10,0,0,0,0,0
GO,Água Limpa,520020,5200209,GO,Água Limpa,"-18,0771","-48,7603",Região Centro-Oeste,2013,Pequeno I,0,0,0,0,22,0,0,0,0,15,0,0,0,0,0
RN,Água Nova,240040,2400406,RN,Água Nova,"-6,20351","-38,2941",Região Nordeste,2980,Pequeno I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PE,Água Preta,260040,2600401,PE,Água Preta,"-8,70609","-35,5263",Região Nordeste,33095,Pequeno II,0,0,1,0,8,2,0,2,0,119,1,0,0,0,0
RS,Água Santa,430005,4300059,RS,Água Santa,"-28,1672","-52,031",Região Sul,3722,Pequeno I,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0
SP,Aguaí,350030,3500303,SP,Aguaí,"-22,0572","-46,9735",Região Sudeste,32148,Pequeno II,0,0,0,0,2003,28,0,0,0,74,0,0,0,0,0
MG,Aguanil,310080,3100807,MG,Aguanil,"-20,9439","-45,3915",Região Sudeste,4054,Pequeno I,0,0,0,0,31,0,0,1,0,0,2,0,0,0,0
PE,Águas Belas,260050,2600500,PE,Águas Belas,"-9,11125","-37,1226",Região Nordeste,40235,Pequeno II,0,0,0,0,25,4,0,0,0,118,3,0,0,0,0
SP,Águas da Prata,350040,3500402,SP,Águas da Prata,"-21,9319","-46,7176",Região Sudeste,7584,Pequeno I,0,0,0,0,26,3,0,0,0,15,0,0,0,0,0
